Name,Title/Alias/Rank,Tags,Relations,Age,Birth Year,Death Year,Race/Species,Family/Guild/Organisation,Home
Aurelian Palantine,"Imperator of the Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ","Messana, Palantine Empire","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ",78,3137,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",Palantine Family,"Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.csv) "
Avnon Songheart,-,"Caershire, Midnight Note, Quills of Ios","Caershire (Caershire%2036d5df387f5c40279e7840966f055daa.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",25,3190,,"Fiendspawn (Fiendspawn%205223a6b6b6b94d348478ed8a35569169.csv) ","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Caershire (Caershire%2036d5df387f5c40279e7840966f055daa.csv) "
Aza Velarin,Copper Rat,"Bellmark's Landing, Copper Rats","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",21,3192,3213,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Copper Rats (Copper%20Rats%2080dc3a7e773e4b7f97ceadc9f93ace8c.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Belinda Lahari,Owner of the Sailor’s Rest,"Bellmark's Landing, Blood Coin Creed","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) ",34,3181,,"Fiendspawn (Fiendspawn%205223a6b6b6b94d348478ed8a35569169.csv) ","Blood Coin Creed (Blood%20Coin%20Creed%20a1e3f2b651b049cd88877892c939b8b1.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Boobo Darktusk,"Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) Nightcrawler, Erol Steelring.","Bellmark's Landing, Ebon Syndicate","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ",31,3184,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) Silver Eagles (Silver%20Eagles%20eda02d5b743247b1996ab7388b532bb2.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Boris Blackmantle,"Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) Shadowblade, Black Raven, Ebonmaster","Bellmark's Landing, Ebon Syndicate","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",53,3162,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","Ebon Syndicate (Ebon%20Syndicate%200374ad3a87cf4255bcfbadb2c0df9b5f.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Brand,,"Frosthler, Midnight Note, Quills of Ios, Spinners","Frosthler (Frosthler%20ba76fbd9fc364c589d34fe791cfa6050.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",27,3188,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) Spinners (Spinners%201d3ca363d0f54ce2bdc9a2e6ae214654.csv) ","Frosthler (Frosthler%20ba76fbd9fc364c589d34fe791cfa6050.csv) "
Brawn Stonebeard,Tavernkeep,Falls of Gohondar,"Falls of Gohondar (Falls%20of%20Gohondar%20d07eb0543c1448ef9bb03ec5f4d22f3c.csv) ",35,3180,,"Titanborn (Titanborn%20cfc56316494e4efeb581fb61e10eabab.csv) ",,"Falls of Gohondar (Falls%20of%20Gohondar%20d07eb0543c1448ef9bb03ec5f4d22f3c.csv) "
Breggo,Merchant and Trader,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",43,3172,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Brenna,Carpenter,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",38,3177,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Brock of the Deathringers,Shaman of the Deathbringers,"Darkwatch Hold, Deathbringer Clan","Karoq Urkhaz aka Deathbringers (Karoq%20Urkhaz%20aka%20Deathbringers%20384e06ae90004026bf2921772023304f.csv) Darkwatch Hold (Darkwatch%20Hold%207803ea5028b24f3b8b40363da2656f3b.csv) ",68,3147,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ","Karoq Urkhaz aka Deathbringers (Karoq%20Urkhaz%20aka%20Deathbringers%20384e06ae90004026bf2921772023304f.csv) ","Darkwatch Hold (Darkwatch%20Hold%207803ea5028b24f3b8b40363da2656f3b.csv) "
Bruni Grimstrike,The Bonelord,Bone Collectors,"Bone Collectors (Bone%20Collectors%20038ecb902478415e8b99c9a880990a1d.csv) ",47,3168,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Bone Collectors (Bone%20Collectors%20038ecb902478415e8b99c9a880990a1d.csv) ","Cerulia (Cerulia%208fad80600fff487ab3fd9d21ef4f94c7.csv) "
Bruun,Beastmaster,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",43,3172,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Caeldin Ironfaith,"Knight of the Order of the Wayfarers (Order%20of%20the%20Wayfarers%2018475a22781a8094bee8e623d138c885.csv) ",,,3215,,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) Lightborn (Lightborn%200bc5d6fb80e64990a02dbbe2d5abf9dc.csv) ",,"Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Calliope Lightseeker,Stellarian Ambassador in Lycia,"Dawnsreach, Stellaria","Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",53,3162,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",Lightseeker,"Dawnsreach (Dawnsreach%20761cae0d1e6a43e2ae73a08f7d6fc2ce.csv) "
Cameron Mavis,"Prince of the Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",Queendom of Nya'Tallin,"Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Radical Dreamers (Radical%20Dreamers%20b4fc63729c9643128f5ce4696750a215.csv) ",31,3182,3213,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","House Mavis (House%20Mavis%20328ee681854044d490cbd4510b8719f6.csv) ","Isyen Lenora (Isyen%20Lenora%2025a3a780df3043f187093c732b6f279d.csv) "
Cassius Valentine,"King of Shadows, Pale Prince","King of Shadows, Pale Prince, Shadowlands",,1935,1280,,"Nosferatu (Nosferatu%209b71db3d74ef403aa6ca9c46399b89e7.csv) ",,"Kas’Velar (Kas%E2%80%99Velar%20476c9e227f2443eca550f0ab8be45af5.csv) "
Cathy Brickford,Book Writer,Caershire,"Caershire (Caershire%2036d5df387f5c40279e7840966f055daa.csv) ",73,3142,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ",,"Caershire (Caershire%2036d5df387f5c40279e7840966f055daa.csv) "
Cedric Ironstone,,Ironstone Cosortium,"Ironstone Consortium (Ironstone%20Consortium%2011275a22781a80be90e7ce7c409785fd.csv) ",25,3190,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ","Ironstone Consortium (Ironstone%20Consortium%2011275a22781a80be90e7ce7c409785fd.csv) ","Holy City of Lancewood (Holy%20City%20of%20Lancewood%204021f6651edd4e4aba71cb199a8f984c.csv) "
Character Template,,,,3215,,,,,
Chester Igarashi,Midnight Note’s Construct Puppy,"Bellmark's Landing, Midnight Note, Quills of Ios","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) Shi-rai Igarashi (Shi-rai%20Igarashi%202b00fac466024354b0273317d2e43ca0.csv) ",2,3213,,"Forgeborn (Forgeborn%20bc063bad27a6430d94a7bda0638c9f4b.csv) ","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Clovis Vocula,Scholar,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",59,3156,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) "
Crothar Copperson,Housecarl,Emberdeep,"Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.csv) ",17,3198,,"Dromani (Dromani%20f986a15fa8414fabb6e5a666a20f4e74.csv) ","Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) "
Crystal Typhoon,Archmagus of Politics,"Argentcourt, Lycia","Lycia (Lycia%20402bf15c994f402cbbf4ef7250df6463.csv) ",51,3164,,"Elementian (Elementian%208e75da99a0c04701a3154f15663d11f8.csv) Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.csv) ","Archmagi of Lycia (Archmagi%20of%20Lycia%201eaaceb5525d487ba938d86fd71cc537.csv) ","Argentcourt (Argentcourt%20b41a9e66f343460486a277b32660228c.csv) "
Cuggax the Unassailable,Cuggax the Unassailable,"Blood Coin Creed, Fortuna De Lapis","Blood Coin Creed (Blood%20Coin%20Creed%20a1e3f2b651b049cd88877892c939b8b1.csv) Lapis De Fortuna (Lapis%20De%20Fortuna%202274dd93dabc4a7ca72a6ea78996e002.csv) ",210,3005,,"Psionic (Psionic%208302f0efd60244b1be7a22191f32ac32.csv) ","Blood Coin Creed (Blood%20Coin%20Creed%20a1e3f2b651b049cd88877892c939b8b1.csv) ","Lapis De Fortuna (Lapis%20De%20Fortuna%202274dd93dabc4a7ca72a6ea78996e002.csv) "
Daphne Blackwood ‘Black’,Howling Brew Owner,Howlcrest,,35,3180,,"Vulkris (Vulkris%2012dd0b6e6e514467ae08b5c2c15eaf3b.csv) ",,"Howlcrest (Howlcrest%20332eac8a6dc1479da57f61a0b0f6b116.csv) "
Derelia Myrlandis,"Knight Commander of Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) ",Emberdeep,"Order of the Wayfarers (Order%20of%20the%20Wayfarers%2018475a22781a8094bee8e623d138c885.csv) Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.csv) ",55,3160,,"Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.csv) ","Knight Orders of the Twelve (Knight%20Orders%20of%20the%20Twelve%2018475a22781a801ea757c2c341485727.csv) ","Emberdeep (Emberdeep%20970b2a8371ba4facad9c16f1a552038e.csv) Forge of Faith (Forge%20of%20Faith%2018675a22781a8021b3d3e79ecb0cbffe.csv) "
Deron V Duskember,"Mayor of Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv), and Represenatitve for Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv) in the Valkorian City-States (Valkorian%20City-States%2094cc103e39aa4dc4a9e2e08376851195.csv).",Vakkengard,"Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv) ",29,3186,,"Ashen Elf (Ashen%20Elf%20242958fba0aa4fbcb32c3ddfb19e4353.csv) ",,"Vakkengard (Titan’s Rest) (Vakkengard%20(Titan%E2%80%99s%20Rest)%20b8c329549abf41648464107b78a72b2a.csv) "
Dimi Dee,Arcanist,Quills of Ios,"Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ",35,3180,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Holy City of Lancewood (Holy%20City%20of%20Lancewood%204021f6651edd4e4aba71cb199a8f984c.csv) "
Dinna,Merchant and Trader,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",38,3177,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Draco Palantine,"Prince of the Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv), ","Ebon Syndicate, Palantine Empire, Valkoria","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ",37,3176,3213,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ","Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.csv) "
Drago Sunstriker,Chancellor,Valkoria,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) ",26,2622,2648,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",Sunstriker Family,"Valkoria (Valkoria%2063188c93864440e591a3528e50868ec6.csv) "
Ebony Leaf ‘Raven’,Saint Raven the Dragonslayer,"Bhadir, Stormreach",,53,2467,2520,"Beastkin (Beastkin%209d4322a60f6c4f839ef527a292b33535.csv) Vulkris (Vulkris%2012dd0b6e6e514467ae08b5c2c15eaf3b.csv) ",,"Howlcrest (Howlcrest%20332eac8a6dc1479da57f61a0b0f6b116.csv) "
Elizabeth Mavis,"Princess of the Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",Queendom of Nya'Tallin,"Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) ",27,3188,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","House Mavis (House%20Mavis%20328ee681854044d490cbd4510b8719f6.csv) ","Duztar’s Step (Duztar%E2%80%99s%20Step%20186ea4cd71c447149950d98abcc3fc92.csv) Isyen Lenora (Isyen%20Lenora%2025a3a780df3043f187093c732b6f279d.csv) "
Ellric,Scholar,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",21,3194,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Elron Whistlebranch,,,,61,3154,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ",,"Cobalt Forest (Cobalt%20Forest%2018675a22781a804ebf16d0524faa6b2f.csv) "
Elunara Starcaller,High Astromancer,Stellaria,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) ",87,3128,,"Pale Elf (Pale%20Elf%20f2b604f694fe4bd2a9e78480a2b535e0.csv) ",,"Stellaria (Stellaria%20f6088af7dce147c4aa46a6e35340ae67.csv) "
Faustine Pelletier,Shikari,"Argentcourt, Lycia","Lycia (Lycia%20402bf15c994f402cbbf4ef7250df6463.csv) Martell Martin (Martell%20Martin%20b19c473bea6545fc8be9d1dca72a2a73.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",29,3184,3213,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ",,"Argentcourt (Argentcourt%20b41a9e66f343460486a277b32660228c.csv) "
Faustus Palantine,"Second Prince of the Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ","Messana, Palantine Empire","Palantine Empire (Palantine%20Empire%20b5f0a5e7621b4b02862738a0582cfccd.csv) ",45,3170,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",Palantine Family,"Messana (Messana%2000b27eb025b94f75b2abb90470caaafb.csv) "
Fendall Bramblenock,,,,3215,,,,,
Fergus ‘Greyhound’,"Guild Master of the Blades of Benevolence (Blades%20of%20Benevolence%200f70786f58e643eeb9355e1282aec44e.csv) ",Runaria,,50,3165,,"Orc (Orc%20cf277f33cd8a404c96c7975b92c26b0c.csv) ","Blades of Benevolence (Blades%20of%20Benevolence%200f70786f58e643eeb9355e1282aec44e.csv) ",
Festo Umile,-,Ordona,"Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",52,3163,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) "
Flake of Snow,Explorer,"Bellmark's Landing, Frosthler, Quills of Ios","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) Frosthler (Frosthler%20ba76fbd9fc364c589d34fe791cfa6050.csv) ",29,3186,,"Beastkin (Beastkin%209d4322a60f6c4f839ef527a292b33535.csv) ","Quills of Ios (Quills%20of%20Ios%206a92bc4f5c7c4629a25e19d47d321171.csv) ","Kas’Velar (Kas%E2%80%99Velar%20476c9e227f2443eca550f0ab8be45af5.csv) Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) Bhadir (Bhadir%20eecd93006c3f41b2823d389bf90cf286.csv) "
Florina De Fonseca,Disgraced Praetor of Bellmark’s Landing,"Bellmark's Landing, Palantine Empire","Midnight Note (Midnight%20Note%20aabd4488c4ea43c393d10542ec8af339.csv) ",78,3135,3213,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ",De Fonseca Winemakers,"Bellmark’s Landing (Bellmark%E2%80%99s%20Landing%2054c76e237a3b470da0856b090bec2ee2.csv) "
Fowlin ‘Kellyn’ Goldleaf,"The Impresario, Head of Duztar’s Step (Duztar%E2%80%99s%20Step%20186ea4cd71c447149950d98abcc3fc92.csv) ","Queendom of Nya'Tallin, Radical Dreamers","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) Radical Dreamers (Radical%20Dreamers%20b4fc63729c9643128f5ce4696750a215.csv) ",36,3179,,"Fellintran Elf (Fellintran%20Elf%20beccd90e1d7446078ec525d40007b5ca.csv) ","House Kellyn, but now Adoptive son of the House Goldleaf","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) "
Frakko,Excavators,"Mistvale, Mz'Lupakku","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ",57,3158,,"Sylfkin (Sylfkin%2011f75a22781a80169aa7f3cc74aa5ac0.csv) ","Covenant of the Wolf (Covenant%20of%20the%20Wolf%2012575a22781a80d99e01f30949cd5c3f.csv) ","Mz’Lupakku (Mz%E2%80%99Lupakku%2012575a22781a8030a6b3ef34e94fc9b3.csv) "
Franz Steelback,-,Ordona,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) ",43,3172,,"Dwarf (Dwarf%207b5851a6b05341bcb4d77736f736b8f8.csv) ",,"Ordona (Ordona%2097fdf7ca0d2f4b10aa4b2958a480b0b7.csv) "
Fredrick Stonecutter,Head of House Stonecutter (House%20Stonecutter%20aceb54e4f0f345669cce71f825637f83.csv),"House Stonecutter, Queendom of Nya'Tallin","House Stonecutter (House%20Stonecutter%20aceb54e4f0f345669cce71f825637f83.csv) ",66,3149,,"Human (Human%2011face1141c540a18f85f67c37bf395b.csv) ","House Stonecutter (House%20Stonecutter%20aceb54e4f0f345669cce71f825637f83.csv) ","Queendom of Nya’Tallin (Queendom%20of%20Nya%E2%80%99Tallin%20cd93d0f7f358493288358dfc3baef5b6.csv) "
